postac_a,postac_b,siła relacji
CHIEF,WILLARD,30
CHEF,WILLARD,23
LANCE,WILLARD,22
CHEF,CHIEF,16
CHIEF,LANCE,13
KILGORE,WILLARD,13
KURTZ,WILLARD,12
KILGORE,LANCE,11
CHIEF,CLEAN,9
CHEF,LANCE,9
CLEAN,WILLARD,9
CLEAN,LANCE,8
CHEF,CLEAN,8
CHEF,KURTZ,5
SOLDIER,WILLARD,5
COLBY,WILLARD,5
GASTON,WILLARD,4
ROXANNE,WILLARD,4
MOONBY,WILLARD,4
VOICE,WILLARD,4
CHEF,PHILIPPE,3
CHIEF,GASTON,3
CIVILIAN,WILLARD,3
CHEF,GASTON,3
GASTON,PHILIPPE,3
LANCE,SOLDIER,3
PHILIPPE,WILLARD,3
CHIEF,KILGORE,3
GASTON,LANCE,2
CHIEF,VOICE,2
CHIEF,PHILIPPE,2
CIVILIAN,COLONEL,2
CIVILIAN,MAJOR,2
CHIEF,SOLDIER,2
SOLDIER,VOICE,2
MAJOR,WILLARD,2
KURTZ'S WIFE,WILLARD,2
KILGORE,OTHERS,2
KILGORE,SOLDIER,2
KILGORE,MIKE,2
COLBY,MOONBY,2
COLONEL,MAJOR,2
COLONEL,WILLARD,2
CLEAN,KILGORE,2
KILGORE,RADIO,2
GASTON,ROXANNE,2
LANCE,MIKE,2
NIGHT,WILLARD,2
MIKE,WILLARD,2
LIEUTENANT,WILLARD,2
LANCE,PHILIPPE,2
ACCOUNTANT,WILLARD,1
ACCOUNTANT,LAWYER,1
ACCOUNTANT,CHARLIE,1
AGENT,CHIEF,1
AGENT,PILOT,1
AGENT,CLEAN,1
CATHY,WILLARD,1
CATHY,LYNDA,1
CHARLIE,WILLARD,1
CHARLIE,LAWYER,1
AGENT,TERRI,1
AGENT,VOICE,1
CATHY,CHEF,1
CATHY,CHIEF,1
AGENT,WILLARD,1
AUSTRALIAN,CHEF,1
AUSTRALIAN,MOONBY,1
AUSTRALIAN,WILLARD,1
CAPTAIN,CIVILIAN,1
AGENT,CHEF,1
CIVILIAN,VOICE,1
CIVILIAN,THIRD VOICE,1
CIVILIAN,SECOND VOICE,1
CIVILIAN,KURTZ,1
CHIEF,SERGEANT,1
CHIEF,ROXANNE,1
CHIEF,SPOTTER,1
CHIEF,TOM,1
CHIEF,ROACH,1
CHIEF,CUT TO.,1
CHIEF,GUNNER,1
CHIEF,LIEUTENANT,1
CHIEF,LYNDA,1
CHIEF,MIKE,1
CHIEF,OTHER SOLDIER,1
CHIEF,OTHERS,1
CHEF,SOLDIER,1
CHEF,VOICE,1
CHEF,SPOTTER,1
CHIEF,FRENCHMAN,1
CATHY,LANCE,1
CATHY,CLEAN,1
CHEF,KILGORE,1
CHEF,FRENCHMAN,1
CHEF,GUNNER,1
CHEF,LYNDA,1
CHEF,NIGHT,1
CHEF,MOONBY,1
CHEF,OTHER SOLDIER,1
CHEF,RADIO,1
CHEF,ROACH,1
CHEF,ROXANNE,1
CAPTAIN,WILLARD,1
FOURTH SPECIAL FORCES,NU MUNG BA,1
FRENCHMAN,WILLARD,1
FADE OUT.,ROXANNE,1
CUT TO.,WILLARD,1
CUT TO.,ROXANNE,1
CUT TO.,GASTON,1
COLONEL,VOICE,1
COLBY,MAN,1
COLONEL,THIRD VOICE,1
COLONEL,SECOND VOICE,1
COLONEL,KURTZ,1
GUNNER,LANCE,1
GUARD,KILGORE,1
GUNNER,KILGORE,1
GUARD,WILLARD,1
KILGORE,LIEUTENANT,1
GUNNER,WILLARD,1
FADE OUT.,THE  END,1
CO-PILOT,OTHERS,1
COLBY,LANCE,1
COLBY,KURTZ,1
CO-PILOT,RADIO,1
CLEAN,GUNNER,1
CLEAN,SOLDIER,1
CLEAN,SPOTTER,1
CLEAN,VOICE,1
CO-PILOT,KILGORE,1
CLEAN,OTHER SOLDIER,1
CLEAN,OTHERS,1
CLEAN,ROACH,1
CLEAN,LYNDA,1
LANCE,LYNDA,1
KURTZ,VOICE,1
KURTZ,SECOND VOICE,1
KURTZ,THIRD VOICE,1
KURTZ,NIGHT,1
KURTZ,MOONBY,1
KURTZ,KURTZ'S WIFE,1
KURTZ,MAJOR,1
KILGORE,TOM,1
GUNNER,OTHER SOLDIER,1
GUNNER,SOLDIER,1
GUNNER,ROACH,1
GUNNER,SPOTTER,1
GUNNER,VOICE,1
LANCE,TOM,1
LANCE,ROXANNE,1
LIEUTENANT,SOLDIER,1
LIEUTENANT,RADIO,1
LAWYER,WILLARD,1
LANCE,VOICE,1
LANCE,SPOTTER,1
MAJOR,SECOND VOICE,1
LYNDA,WILLARD,1
LIEUTENANT,VOICE,1
MAN,MOONBY,1
MAJOR,VOICE,1
MAJOR,THIRD VOICE,1
LANCE,ROACH,1
LANCE,OTHER SOLDIER,1
LANCE,OTHERS,1
LANCE,MOONBY,1
LANCE,MAN,1
OTHER SOLDIER,SOLDIER,1
OTHER SOLDIER,ROACH,1
MIKE,SOLDIER,1
MIKE,TOM,1
MAN,WILLARD,1
OTHER SOLDIER,SPOTTER,1
OTHER SOLDIER,WILLARD,1
OTHER SOLDIER,VOICE,1
PILOT,TERRI,1
PILOT,VOICE,1
PILOT,WILLARD,1
RADIO,WILLARD,1
OTHERS,RADIO,1
OTHERS,WILLARD,1
PHILIPPE,ROXANNE,1
PILOT,RADIO,1
ROACH,WILLARD,1
ROACH,VOICE,1
ROACH,SPOTTER,1
ROACH,SOLDIER,1
SECOND VOICE,WILLARD,1
SECOND VOICE,VOICE,1
SOLDIER,SPOTTER,1
SECOND VOICE,THIRD VOICE,1
SERGEANT,WILLARD,1
SPOTTER,VOICE,1
TERRI,VOICE,1
SPOTTER,WILLARD,1
TERRI,WILLARD,1
THIRD VOICE,VOICE,1
THIRD VOICE,WILLARD,1
TOM,WILLARD,1
